epoch,loss,train_auc,train_f1,train_aupr,eval_auc,eval_f1,eval_aupr,test_auc,test_f1,test_aupr
0.0,0.8408223986625671,0.9299851753978969,0.866560298230013,0.9438685158372891,0.9155575119720745,0.8496291145428849,0.9310601840567186,0.9160464297340684,0.851729314942017,0.9343011963025193
1.0,0.5362183451652527,0.9423023979390104,0.8815344671858739,0.9528060588250339,0.9223919500871297,0.8585202516240088,0.9361297210480991,0.9241407905477453,0.8610855658513087,0.939951286562667
2.0,0.5092232823371887,0.9529703603086987,0.8932789833721393,0.9606038930944371,0.9290565143443714,0.8688168067032161,0.9411354026977061,0.930628720417763,0.8681625842970382,0.9448504747677324
3.0,0.4789060652256012,0.9638061108912495,0.9029457284724639,0.9683198999738729,0.9349649582086594,0.8738583379847842,0.9454613731120826,0.9363622134309074,0.8762831348533447,0.9491552099067667
4.0,0.4463843107223511,0.971990244996531,0.9103447736613608,0.9743077673934101,0.9392654982234774,0.8793673703866173,0.9488546233607553,0.9401595014616503,0.8803333299470096,0.9520075762944982
5.0,0.41528791189193726,0.9775237738666916,0.9179007715110364,0.978615622385042,0.9421795772962157,0.8816276531888707,0.9509267535693193,0.9422962559699055,0.8834087263347338,0.953627286150288
6.0,0.38935354351997375,0.9817955339598338,0.9256080278650914,0.982151564704893,0.9442120185425295,0.8834950350265826,0.952337143664381,0.9438328240515481,0.8844779975278297,0.9549374312623998
7.0,0.37079980969429016,0.9850082943188887,0.9330338591007068,0.9849256227950948,0.9453820617475532,0.8859461226599737,0.9531156689191708,0.9446977979791624,0.8855705635689783,0.9555983695402936
8.0,0.3698537349700928,0.9870939164560776,0.9385189264488791,0.986687513206963,0.9453281473614994,0.8862397827910681,0.9529378818896013,0.944898860584989,0.8873839580578784,0.9558216661909559
9.0,0.4002380669116974,0.9876737152082904,0.9403329252921901,0.9870816960232163,0.9445194405348939,0.8858844008755433,0.9519902141167723,0.9441134676373,0.8860009339064111,0.9550055992968199
10.0,0.40130284428596497,0.9886710494267942,0.9418141153761669,0.9879170584916716,0.9448645695258271,0.8870334468503742,0.9519470933523654,0.9439103278237831,0.8860784663536253,0.9547605472489281
